,fecha,Menor 1 año,1 a 4 años,5 a 14,15 a 44,45 a 64,65 a 84,85 y más ,total_defunciones
2331,2023-05-06,1.0,,,8.0,27.0,48.0,42.0,126.0
2332,2023-05-07,3.0,,1.0,3.0,27.0,51.0,24.0,109.0
2333,2023-05-08,1.0,,,11.0,17.0,55.0,27.0,111.0
2334,2023-05-09,1.0,1.0,2.0,8.0,19.0,77.0,39.0,147.0
2335,2023-05-10,1.0,,1.0,5.0,17.0,76.0,40.0,140.0
2336,2023-05-11,1.0,,,5.0,26.0,61.0,42.0,135.0
2337,2023-05-12,2.0,,1.0,14.0,26.0,49.0,38.0,130.0
2338,2023-05-13,1.0,,,5.0,22.0,55.0,34.0,117.0
2339,2023-05-14,2.0,,,1.0,22.0,51.0,44.0,120.0
2340,2023-05-15,2.0,1.0,,9.0,19.0,50.0,38.0,119.0
2341,2023-05-16,2.0,,2.0,7.0,21.0,55.0,42.0,129.0
2342,2023-05-17,1.0,,,9.0,23.0,53.0,43.0,129.0
2343,2023-05-18,1.0,,,7.0,26.0,64.0,38.0,136.0
2344,2023-05-19,,,1.0,13.0,23.0,51.0,43.0,131.0
2345,2023-05-20,,,2.0,12.0,23.0,45.0,47.0,129.0
2346,2023-05-21,1.0,1.0,,7.0,29.0,59.0,35.0,132.0
2347,2023-05-22,2.0,1.0,,11.0,26.0,66.0,28.0,134.0
2348,2023-05-23,,,,6.0,21.0,58.0,28.0,113.0
2349,2023-05-24,,,,14.0,27.0,50.0,33.0,124.0
2350,2023-05-25,,1.0,1.0,6.0,24.0,69.0,31.0,132.0
2351,2023-05-26,6.0,,,8.0,19.0,58.0,40.0,131.0
2352,2023-05-27,,1.0,,7.0,24.0,54.0,37.0,123.0
2353,2023-05-28,,,,12.0,27.0,58.0,35.0,132.0
2354,2023-05-29,4.0,,,8.0,24.0,62.0,42.0,140.0
2355,2023-05-30,1.0,,1.0,9.0,24.0,59.0,37.0,131.0
2356,2023-05-31,4.0,1.0,,8.0,17.0,60.0,40.0,130.0
2357,2023-06-01,,,,6.0,23.0,63.0,50.0,142.0
2358,2023-06-02,3.0,,1.0,10.0,24.0,64.0,44.0,146.0
2359,2023-06-03,1.0,,,9.0,27.0,54.0,38.0,129.0
2360,2023-06-04,,,1.0,11.0,29.0,58.0,34.0,133.0
2361,2023-06-05,1.0,1.0,,6.0,28.0,61.0,44.0,141.0
2362,2023-06-06,1.0,,,7.0,17.0,52.0,35.0,112.0
2363,2023-06-07,,,,6.0,33.0,57.0,48.0,144.0
2364,2023-06-08,2.0,,,9.0,23.0,72.0,39.0,145.0
2365,2023-06-09,2.0,,,5.0,19.0,65.0,30.0,121.0
2366,2023-06-10,2.0,,,9.0,16.0,57.0,38.0,122.0
2367,2023-06-11,3.0,,,5.0,20.0,55.0,42.0,125.0
2368,2023-06-12,2.0,,,8.0,19.0,45.0,44.0,118.0
2369,2023-06-13,,,1.0,12.0,24.0,46.0,25.0,108.0
2370,2023-06-14,,,2.0,10.0,23.0,51.0,37.0,123.0
2371,2023-06-15,,,,9.0,26.0,64.0,42.0,141.0
2372,2023-06-16,4.0,,1.0,11.0,21.0,80.0,38.0,155.0
2373,2023-06-17,,,2.0,11.0,22.0,63.0,38.0,136.0
